,iv,treated,group_id_overall,outcome
553,1,1,257,0.257951
554,1,0,257,0.378882
555,1,0,257,0.250122
556,1,0,257,0.228814
557,1,1,257,0.376691
558,1,1,257,0.21813
559,0,0,257,0.359935
560,1,1,257,0.364912
561,0,0,257,0.412646
562,1,0,257,0.346821
563,1,1,257,0.344828
564,1,1,257,0.219274
565,1,1,257,0.391185
566,1,1,257,0.279348
567,1,0,257,0.356742
568,1,0,257,0.354926
569,1,1,257,0.394303
570,1,1,257,0.364544
571,1,1,257,0.332192
572,1,0,257,0.338403
573,1,0,257,0.270718
574,1,1,257,0.349857
575,1,1,257,0.365854
576,1,0,257,0.273684
577,1,0,257,0.358612
578,1,1,257,0.278559
579,1,1,257,0.298875
580,1,0,257,0.319716
581,1,0,257,0.324742
582,1,1,257,0.335516
583,1,1,257,0.302683
584,1,0,257,0.349364
585,1,0,257,0.315866
586,1,1,257,0.280822
587,1,0,257,0.457862
588,1,1,257,0.305398
589,1,1,257,0.239923
590,1,0,257,0.30137
591,1,0,257,0.36107
592,1,1,257,0.212465
593,1,1,257,0.271845
594,1,1,257,0.388506
595,1,1,257,0.22093
596,1,1,257,0.404403
597,1,1,257,0.313043
598,1,1,257,0.381226
599,1,1,257,0.214286
600,1,1,257,0.295
601,1,1,257,0.377778
602,1,0,257,0.309125
603,1,0,257,0.379932
604,1,1,257,0.174603
605,1,1,257,0.341098
606,1,1,257,0.310832
607,0,0,257,0.311054
608,0,0,257,0.310977
609,1,0,257,0.259312
610,1,1,257,0.345964
611,1,1,257,0.381885
612,1,0,257,0.39084
613,1,1,257,0.358006
614,1,1,257,0.342453
615,1,1,257,0.350975
616,1,1,257,0.29557
617,1,1,257,0.369863
618,1,1,257,0.354098
619,1,1,257,0.311321
620,1,1,257,0.287285
621,1,0,257,0.343548
622,1,1,257,0.314157
623,1,1,257,0.258333
624,1,1,257,0.202899
625,1,1,257,0.393906
626,1,1,257,0.321178
627,0,0,257,0.348726
628,1,0,257,0.418338
629,0,0,257,0.264411
630,1,1,257,0.406619
631,1,0,257,0.278579
632,1,0,257,0.418227
633,1,1,257,0.266667
634,1,0,257,0.297297
635,1,1,257,0.315152
636,1,0,257,0.288889
637,1,1,257,0.345226
638,1,1,257,0.264871
639,1,1,257,0.299026
640,1,1,257,0.43314
641,1,0,257,0.586895
642,1,1,257,0.32449
643,1,1,257,0.316239
644,1,1,257,0.376173
645,1,1,257,0.346709
646,1,1,257,0.33617
647,1,1,257,0.331878
648,1,1,257,0.420844
649,1,1,257,0.453184
650,1,0,257,0.331034
651,1,1,257,0.317521
652,1,1,257,0.30371
653,1,0,257,0.319797
654,1,1,257,0.292778
655,1,1,257,0.381328
656,1,0,257,0.192683
657,1,0,257,0.308797
658,1,1,257,0.56162
659,1,1,257,0.335121
660,1,1,257,0.265096
661,1,1,257,0.35369
662,1,1,257,0.304348
663,1,1,257,0.213725
664,1,1,257,0.327103
665,1,1,257,0.446352
666,1,1,257,0.309164
667,1,0,257,0.285024
668,0,0,257,0.350515
669,1,1,257,0.304059
670,1,0,257,0.25196
671,1,0,257,0.377376
672,1,1,257,0.299145
673,1,1,257,0.378079
674,1,1,257,0.29245
675,1,1,257,0.253333
676,1,1,257,0.419048
677,1,0,257,0.190476
678,1,1,257,0.374795
679,1,1,257,0.313889
680,1,0,257,0.436856
681,1,0,257,0.604235
682,1,0,257,0.354582
683,0,0,257,0.421903
684,1,1,257,0.386266
685,1,0,257,0.377778
686,1,1,257,0.368231
687,0,0,257,0.288212
688,1,1,257,0.289377
689,1,1,257,0.249641
690,1,1,257,0.257944
691,1,1,257,0.365229
692,0,0,257,0.411765
693,1,1,257,0.385526
694,1,0,257,0.358006
695,1,1,257,0.386897
696,1,1,257,0.194805
697,0,0,257,0.248788
698,1,1,258,0.21845
699,1,1,258,0.351464
700,0,0,258,0.240838
701,0,0,258,0.325926
702,1,1,258,0.332155
703,1,0,258,0.233242
704,1,0,258,0.310638
705,1,1,258,0.238636
706,1,0,258,0.263614
707,1,1,258,0.205882
708,1,1,258,0.319588
709,1,1,258,0.435216
710,1,0,258,0.195876
711,1,0,258,0.322314
712,1,1,258,0.283512
713,0,0,258,0.261122
714,1,1,258,0.294118
715,1,1,258,0.390244
716,1,1,258,0.421053
717,1,1,258,0.318891
718,1,0,258,0.378378
719,1,0,258,0.377709
720,1,1,258,0.272109
721,1,1,258,0.458599
722,0,0,258,0.303167
723,1,0,258,0.305416
724,1,1,258,0.253205
725,1,1,258,0.267327
726,0,0,258,0.198113
727,1,0,258,0.224638
728,1,0,258,0.33945
729,1,1,258,0.325397
730,0,0,258,0.311262
731,1,1,258,0.384615
732,1,1,258,0.226891
733,0,0,258,0.380635
734,1,1,258,0.302496
735,1,0,258,0.232759
736,1,1,258,0.338834
737,1,0,258,0.302102
738,1,1,258,0.447059
739,1,1,258,0.359613
740,1,1,258,0.263566
741,1,1,258,0.166667
742,1,1,258,0.233333
743,1,1,258,0.343284
744,1,0,258,0.242424
745,1,1,258,0.282051
746,1,1,258,0.26615
747,1,1,258,0.291079
748,1,1,258,0.352113
749,1,1,258,0.316079
750,1,1,258,0.32459
751,1,1,258,0.288136
752,1,0,258,0.292105
753,1,1,258,0.291339
754,0,0,258,0.224852
755,1,1,258,0.240331
756,0,0,258,0.21519
757,1,0,258,0.385455
758,1,1,258,0.319951
759,1,1,258,0.223214
760,1,1,258,0.197674
761,1,1,258,0.302839
762,1,1,258,0.252427
763,1,0,258,0.333006
764,1,0,258,0.330477
765,1,0,257,0.328333
766,1,1,258,0.329369
767,1,1,258,0.345815
768,0,0,259,0.309278
769,1,1,259,0.336283
770,1,1,259,0.458333
771,1,1,259,0.348624
772,1,1,259,0.333333
773,0,0,260,0.222222
774,1,1,260,0.176471
775,1,1,260,0.408451
776,1,1,260,0.405405
777,1,1,261,0.335702
778,0,0,261,0.261364
779,1,1,261,0.393443
780,1,1,261,0.431315
781,1,1,261,0.27
782,1,1,261,0.396226
783,1,1,261,0.585925
784,1,1,261,0.436909
785,1,1,261,0.3125
786,1,1,261,0.22093
787,1,1,261,0.411966
788,1,1,261,0.384984
789,1,1,261,0.440758
790,1,1,261,0.382812
791,1,1,261,0.251781
792,1,0,261,0.346726
793,1,1,261,0.3353
794,1,1,261,0.411382
795,1,1,261,0.322581
796,1,1,261,0.368675
797,1,1,261,0.43662
798,0,0,261,0.376751
799,1,0,261,0.489796
800,1,0,261,0.462838
801,1,1,261,0.404762
802,1,1,261,0.396467
803,1,1,261,0.280488
804,1,1,261,0.323741
805,0,0,261,0.27668
806,1,1,262,0.418681
807,1,1,262,0.407115
808,1,1,262,0.514134
